[2026-03-17T22:53:21.980796+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
[2026-03-17T22:53:55.295305+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
[2026-03-18T06:01:02.560067+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
[2026-03-18T06:02:22.441804+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
[2026-03-18T06:02:59.921184+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
[2026-03-18T06:50:25.891789+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
[2026-03-18T07:02:21.764217+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
[2026-03-18T07:07:06.806775+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
[2026-03-18T07:58:18.877527+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
[2026-03-18T08:35:14.455829+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
[2026-03-18T08:41:09.880538+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
[2026-03-18T21:20:15.674897+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
[2026-03-19T00:30:42.254882+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
[2026-03-19T00:33:23.035036+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
[2026-03-19T01:18:49.390305+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
[2026-03-27T04:03:59.588145+00:00] CIRCUIT BREAKER ACTIVADO | drawdown=0.1800 (18.0%) | max_dd=0.1500 (15.0%) | cooldown=86400s
